,Player_Name,PA,BB/PA,Launch_Speed,BABIP,wOBA,xwOBA,HR/PA,R/PA,RBI/PA,BA,OBP
0,A.J. Ellis,163,0.07400000000000001,80.8,0.222,0.294,0.273,0.03680981595092025,0.10429447852760736,0.08588957055214724,0.21,0.298
1,A.J. Pollock,466,0.075,82.9,0.29100000000000004,0.34,0.331,0.030042918454935622,0.15665236051502146,0.10515021459227468,0.266,0.33
2,Aaron Altherr,412,0.078,83.3,0.328,0.359,0.33,0.04611650485436893,0.1407766990291262,0.15776699029126215,0.272,0.34
3,Aaron Hicks,361,0.141,83.0,0.29,0.363,0.335,0.04155124653739612,0.14958448753462603,0.1440443213296399,0.266,0.3720000000000001
4,Aaron Judge,678,0.187,85.1,0.35700000000000004,0.43,0.446,0.07669616519174041,0.1887905604719764,0.168141592920354,0.284,0.422
5,Abraham Almonte,195,0.103,83.1,0.298,0.298,0.301,0.015384615384615385,0.13333333333333333,0.07179487179487179,0.233,0.314
6,Adam Duvall,647,0.06,81.5,0.29,0.327,0.295,0.04791344667697063,0.1205564142194745,0.15301391035548687,0.249,0.301
7,Adam Eaton,107,0.131,81.9,0.34700000000000003,0.369,0.319,0.018691588785046728,0.22429906542056074,0.12149532710280374,0.297,0.393
8,Adam Engel,336,0.057,76.4,0.247,0.23,0.223,0.017857142857142856,0.10119047619047619,0.0625,0.166,0.235
9,Adam Frazier,454,0.079,80.6,0.306,0.322,0.325,0.013215859030837005,0.1211453744493392,0.11674008810572688,0.276,0.344
10,Adam Jones,635,0.043,81.7,0.312,0.334,0.313,0.04094488188976378,0.12913385826771653,0.11496062992125984,0.285,0.322
11,Adam Lind,301,0.093,85.4,0.316,0.363,0.379,0.046511627906976744,0.12956810631229235,0.19601328903654486,0.303,0.362
12,Adam Rosales,312,0.035,80.3,0.312,0.261,0.226,0.022435897435897436,0.08012820512820513,0.11538461538461539,0.225,0.26
13,Addison Russell,385,0.075,82.7,0.289,0.305,0.306,0.03116883116883117,0.13506493506493505,0.11168831168831168,0.239,0.304
14,Adeiny Hechavarria,348,0.037000000000000005,80.8,0.304,0.295,0.293,0.022988505747126436,0.10632183908045977,0.08620689655172414,0.261,0.289
15,Adonis Garcia,183,0.038,81.3,0.247,0.269,0.297,0.0273224043715847,0.10382513661202186,0.10382513661202186,0.237,0.273
16,Adrian Beltre,389,0.1,81.7,0.321,0.384,0.355,0.043701799485861184,0.12082262210796915,0.18251928020565553,0.312,0.383
17,Adrian Gonzalez,252,0.063,83.0,0.28,0.275,0.303,0.011904761904761904,0.05555555555555555,0.11904761904761904,0.242,0.287
18,Albert Almora Jr.,323,0.059,82.1,0.338,0.334,0.299,0.02476780185758514,0.12074303405572756,0.14241486068111456,0.298,0.338
